Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Length
208.95.112.1,192.168.1.35,TCP,80,55887,54
208.95.112.1,192.168.1.35,TCP,80,55888,58
192.168.1.35,208.95.112.1,TCP,55892,80,66
192.168.1.35,208.95.112.1,TCP,55886,80,54
208.95.112.1,192.168.1.35,TCP,80,55891,54
208.95.112.1,192.168.1.35,TCP,80,55890,54
192.168.1.35,208.95.112.1,TCP,55893,80,66
208.95.112.1,192.168.1.35,TCP,80,55891,54
192.168.1.35,208.95.112.1,TCP,55887,80,54
208.95.112.1,192.168.1.35,TCP,80,55893,58
192.168.1.35,208.95.112.1,TCP,55888,80,54
208.95.112.1,192.168.1.35,TCP,80,55889,58
192.168.1.35,208.95.112.1,TCP,55893,80,54
192.168.1.35,208.95.112.1,TCP,55889,80,54
192.168.1.35,208.95.112.1,TCP,55893,80,212
208.95.112.1,192.168.1.35,TCP,80,55892,58
192.168.1.35,208.95.112.1,TCP,55888,80,212
192.168.1.35,208.95.112.1,TCP,55889,80,212
208.95.112.1,192.168.1.35,TCP,80,55888,54
208.95.112.1,192.168.1.35,TCP,80,55889,54
208.95.112.1,192.168.1.35,TCP,80,55888,54
208.95.112.1,192.168.1.35,TCP,80,55889,554
208.95.112.1,192.168.1.35,TCP,80,55888,571
192.168.1.35,208.95.112.1,TCP,55889,80,54
192.168.1.35,208.95.112.1,TCP,55892,80,212
208.95.112.1,192.168.1.35,TCP,80,55893,54
208.95.112.1,192.168.1.35,TCP,80,55892,54
208.95.112.1,192.168.1.35,TCP,80,55890,54
208.95.112.1,192.168.1.35,TCP,80,55893,571
192.168.1.35,208.95.112.1,TCP,55888,80,54
192.168.1.35,208.95.112.1,TCP,55890,80,54
208.95.112.1,192.168.1.35,TCP,80,55888,54
208.95.112.1,192.168.1.35,TCP,80,55889,54
192.168.1.35,208.95.112.1,TCP,55890,80,66
192.168.1.35,208.95.112.1,TCP,55893,80,54
192.168.1.35,208.95.112.1,TCP,55894,80,66
192.168.1.35,208.95.112.1,TCP,55891,80,66
208.95.112.1,192.168.1.35,TCP,80,55892,554
208.95.112.1,192.168.1.35,TCP,80,55888,54
208.95.112.1,192.168.1.35,TCP,80,55890,58
208.95.112.1,192.168.1.35,TCP,80,55891,58
104.18.39.21,192.168.1.35,TCP,443,54425,78
192.168.1.35,208.95.112.1,TCP,55888,80,54
192.168.1.35,208.95.112.1,TCP,55892,80,54
208.95.112.1,192.168.1.35,TCP,80,55893,54
208.95.112.1,192.168.1.35,TCP,80,55892,54
192.168.1.35,208.95.112.1,TCP,55890,80,54
192.168.1.35,208.95.112.1,TCP,55895,80,66
208.95.112.1,192.168.1.35,TCP,80,55893,54
208.95.112.1,192.168.1.35,TCP,80,55895,58
192.168.1.35,208.95.112.1,TCP,55891,80,54
192.168.1.35,208.95.112.1,TCP,55893,80,54
192.168.1.35,208.95.112.1,TCP,55895,80,54
208.95.112.1,192.168.1.35,TCP,80,55892,54
192.168.1.35,208.95.112.1,TCP,55890,80,212
192.168.1.35,208.95.112.1,TCP,55891,80,212
192.168.1.35,208.95.112.1,TCP,55892,80,54
192.168.1.35,208.95.112.1,TCP,55895,80,212
208.95.112.1,192.168.1.35,TCP,80,55895,54
208.95.112.1,192.168.1.35,TCP,80,55895,554
192.168.1.35,104.18.39.21,TCP,54425,443,82
208.95.112.1,192.168.1.35,TCP,80,55890,54
208.95.112.1,192.168.1.35,TCP,80,55891,54
104.18.39.21,192.168.1.35,TCP,443,54425,54
208.95.112.1,192.168.1.35,TCP,80,55890,54
208.95.112.1,192.168.1.35,TCP,80,55889,54
192.168.1.35,208.95.112.1,TCP,55895,80,54
208.95.112.1,192.168.1.35,TCP,80,55891,571
208.95.112.1,192.168.1.35,TCP,80,55895,54
208.95.112.1,192.168.1.35,TCP,80,55890,554
192.168.1.35,208.95.112.1,TCP,55890,80,54
192.168.1.35,208.95.112.1,TCP,55896,80,66
208.95.112.1,192.168.1.35,TCP,80,55895,54
208.95.112.1,192.168.1.35,TCP,80,55896,58
192.168.1.35,208.95.112.1,TCP,55891,80,54
192.168.1.35,208.95.112.1,TCP,55892,80,66
208.95.112.1,192.168.1.35,TCP,80,55891,54
208.95.112.1,192.168.1.35,TCP,80,55890,54
192.168.1.35,208.95.112.1,TCP,55896,80,54
208.95.112.1,192.168.1.35,TCP,80,55891,54
208.95.112.1,192.168.1.35,TCP,80,55893,58
192.168.1.35,208.95.112.1,TCP,55896,80,212
208.95.112.1,192.168.1.35,TCP,80,55896,54
192.168.1.35,208.95.112.1,TCP,55891,80,54
192.168.1.35,208.95.112.1,TCP,55894,80,66
208.95.112.1,192.168.1.35,TCP,80,55896,554
192.168.1.35,208.95.112.1,TCP,55893,80,54
192.168.1.35,208.95.112.1,TCP,55893,80,212
208.95.112.1,192.168.1.35,TCP,80,55892,58
192.168.1.35,208.95.112.1,TCP,55896,80,54
208.95.112.1,192.168.1.35,TCP,80,55894,58
192.168.1.35,208.95.112.1,TCP,55894,80,54
192.168.1.35,208.95.112.1,TCP,55892,80,54
192.168.1.35,208.95.112.1,TCP,55894,80,212
208.95.112.1,192.168.1.35,TCP,80,55896,54
192.168.1.35,208.95.112.1,TCP,55892,80,212
208.95.112.1,192.168.1.35,TCP,80,55893,54
208.95.112.1,192.168.1.35,TCP,80,55892,54
208.95.112.1,192.168.1.35,TCP,80,55890,54
208.95.112.1,192.168.1.35,TCP,80,55893,571
192.168.1.35,208.95.112.1,TCP,55897,80,66
208.95.112.1,192.168.1.35,TCP,80,55894,54
208.95.112.1,192.168.1.35,TCP,80,55894,54
208.95.112.1,192.168.1.35,TCP,80,55896,54
192.168.1.35,208.95.112.1,TCP,55890,80,54
192.168.1.35,208.95.112.1,TCP,55896,80,54
208.95.112.1,192.168.1.35,TCP,80,55897,58
192.168.1.35,208.95.112.1,TCP,55893,80,54
192.168.1.35,208.95.112.1,TCP,55897,80,54
192.168.1.35,208.95.112.1,TCP,55894,80,66
208.95.112.1,192.168.1.35,TCP,80,55892,554
192.168.1.35,208.95.112.1,TCP,55897,80,212
208.95.112.1,192.168.1.35,TCP,80,55897,54
163.70.140.60,192.168.1.35,TCP,5222,56779,280
192.168.1.35,208.95.112.1,TCP,55892,80,54
192.168.1.35,163.70.140.60,TCP,56779,5222,128
